                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77685,                 1.2721,                0.97393,                 0.6742,                0.31616,                0.42304,                0.29484,                0.98123,                  2.755,                 1.2922,             0.00076306,             0.00076306,             0.00076306
                     36,                0.74412,                 1.2788,                 0.9742,                0.65198,                 0.3202,                0.43887,                0.32282,                0.97975,                 2.6837,                 1.2662,             0.00077346,             0.00077346,             0.00077346
                     37,                0.79132,                 1.3687,                0.99227,                0.65198,                 0.3202,                0.43887,                0.32282,                0.97975,                 2.6837,                 1.2662,              0.0007832,              0.0007832,              0.0007832
                     38,                0.84818,                 1.4622,                 1.0894,                0.46326,                0.37879,                0.40612,                0.27808,                 1.1012,                 2.9217,                 1.3647,             0.00079228,             0.00079228,             0.00079228
                     39,                0.90111,                 1.4566,                 1.1637,                0.32754,                0.31111,                 0.2323,                0.15274,                 1.2379,                 3.4488,                 1.5398,              0.0008007,              0.0008007,              0.0008007
                     40,                0.81204,                 1.4585,                 1.0383,                0.32754,                0.31111,                 0.2323,                0.15274,                 1.2379,                 3.4488,                 1.5398,             0.00080846,             0.00080846,             0.00080846
                     41,                 0.8581,                 1.5119,                 1.0543,                0.26094,                 0.2798,                0.15923,                0.09286,                 1.3811,                 3.9039,                 1.8148,             0.00081556,             0.00081556,             0.00081556
                     42,                 1.0092,                 1.6115,                 1.1828,                0.38115,                0.14242,                0.11773,                0.07233,                 1.4364,                 4.4456,                 1.9959,               0.000822,               0.000822,               0.000822
                     43,                0.94473,                 1.4268,                 1.0762,                0.38115,                0.14242,                0.11773,                0.07233,                 1.4364,                 4.4456,                 1.9959,             0.00082778,             0.00082778,             0.00082778
                     44,                 0.8899,                 1.5191,                  1.131,                0.40188,                0.14242,                0.15109,                0.08688,                 1.3775,                 3.9891,                 1.9307,              0.0008329,              0.0008329,              0.0008329
                     45,                0.92336,                 1.4898,                 1.0993,                0.40188,                0.14242,                0.15109,                0.08688,                 1.3775,                 3.9891,                 1.9307,             0.00083736,             0.00083736,             0.00083736
                     46,                0.87369,                 1.4856,                 1.0185,                0.54161,                0.25697,                0.27367,                 0.1644,                 1.2861,                  3.337,                 1.6704,             0.00084116,             0.00084116,             0.00084116
                     47,                0.83338,                 1.3967,                  1.062,                0.54161,                0.25697,                0.27367,                 0.1644,                 1.2861,                  3.337,                 1.6704,              0.0008443,              0.0008443,              0.0008443
                     48,                0.77771,                 1.3954,                 1.0253,                0.61478,                0.44233,                0.46313,                0.34186,                 1.1251,                 2.8289,                 1.4118,             0.00084678,             0.00084678,             0.00084678
                     49,                0.91395,                  1.618,                 1.2127,                0.61478,                0.44233,                0.46313,                0.34186,                 1.1251,                 2.8289,                 1.4118,              0.0008486,              0.0008486,              0.0008486
                     50,                0.74012,                 1.1695,                 0.9731,                0.72094,                 0.4683,                0.57854,                0.42016,                 1.0767,                 2.5148,                 1.3714,             0.00084975,             0.00084975,             0.00084975
                     51,                0.74946,                 1.3508,                 1.0292,                0.72094,                 0.4683,                0.57854,                0.42016,                 1.0767,                 2.5148,                 1.3714,             0.00084184,             0.00084184,             0.00084184
                     52,                   0.84,                 1.4138,                 1.0676,                0.66039,                0.51785,                0.59871,                0.43068,                 1.0337,                  2.409,                  1.349,             0.00084184,             0.00084184,             0.00084184
                     53,                0.84173,                 1.3014,                 1.0434,                0.66039,                0.51785,                0.59871,                0.43068,                 1.0337,                  2.409,                  1.349,             0.00082533,             0.00082533,             0.00082533
                     54,                0.85353,                 1.4495,                 1.0133,                0.67713,                0.50917,                0.61399,                0.46079,                0.98348,                 2.3842,                 1.2702,             0.00080883,             0.00080883,             0.00080883
                     55,                0.74258,                 1.3377,                 1.0368,                0.67713,                0.50917,                0.61399,                0.46079,                0.98348,                 2.3842,                 1.2702,             0.00079233,             0.00079233,             0.00079233
                     56,                0.74157,                 1.2715,                0.95956,                0.81208,                0.53419,                0.65625,                 0.5031,                0.98633,                 2.2785,                  1.251,             0.00077582,             0.00077582,             0.00077582
                     57,                0.77471,                 1.3952,                 1.0034,                0.81208,                0.53419,                0.65625,                 0.5031,                0.98633,                 2.2785,                  1.251,             0.00075932,             0.00075932,             0.00075932
                     58,                0.79723,                 1.3939,                 1.0618,                0.82742,                0.53461,                0.66126,                 0.5004,                 1.0277,                 2.2775,                 1.2626,             0.00074282,             0.00074282,             0.00074282
                     59,                0.73562,                 1.3939,                 1.0964,                0.82742,                0.53461,                0.66126,                 0.5004,                 1.0277,                 2.2775,                 1.2626,             0.00072631,             0.00072631,             0.00072631
                     60,                0.70795,                 1.3132,                0.98438,                0.86238,                0.54531,                0.66898,                0.50328,                 1.0364,                 2.1871,                 1.2611,             0.00070981,             0.00070981,             0.00070981
                     61,                0.71688,                 1.2277,                0.98149,                0.86238,                0.54531,                0.66898,                0.50328,                 1.0364,                 2.1871,                 1.2611,             0.00069331,             0.00069331,             0.00069331
                     62,                0.76217,                 1.1996,                 1.0923,                0.92241,                0.53322,                0.66943,                0.50279,                 1.0266,                 2.1454,                 1.2699,              0.0006768,              0.0006768,              0.0006768
                     63,                 0.7504,                 1.2924,                 1.0128,                0.92241,                0.53322,                0.66943,                0.50279,                 1.0266,                 2.1454,                 1.2699,              0.0006603,              0.0006603,              0.0006603
                     64,                0.72163,                  1.105,                0.96459,                0.82833,                0.57084,                0.65709,                0.48797,                 1.0041,                 2.1471,                 1.2328,              0.0006438,              0.0006438,              0.0006438
                     65,                0.70012,                 1.2738,                 1.0272,                0.82833,                0.57084,                0.65709,                0.48797,                 1.0041,                 2.1471,                 1.2328,             0.00062729,             0.00062729,             0.00062729
                     66,                0.72713,                 1.1597,                0.99397,                0.82801,                0.50907,                0.63343,                0.46901,                 1.0026,                 2.1478,                 1.2378,             0.00061079,             0.00061079,             0.00061079
                     67,                0.75544,                 1.1636,                 1.0388,                0.82801,                0.50907,                0.63343,                0.46901,                 1.0026,                 2.1478,                 1.2378,             0.00059429,             0.00059429,             0.00059429
                     68,                0.76588,                 1.1777,                 1.0328,                 0.9018,                0.44917,                0.63044,                0.47547,                 0.9874,                 2.1687,                 1.2321,             0.00057778,             0.00057778,             0.00057778
                     69,                0.74081,                 1.1607,                  1.012,                 0.9018,                0.44917,                0.63044,                0.47547,                 0.9874,                 2.1687,                 1.2321,             0.00056128,             0.00056128,             0.00056128
                     70,                0.71406,                  1.144,                 0.9592,                0.66767,                0.57141,                0.64892,                 0.4971,                0.98004,                  2.169,                 1.2383,             0.00054478,             0.00054478,             0.00054478
                     71,                 0.7431,                 1.1857,                 1.0219,                0.66767,                0.57141,                0.64892,                 0.4971,                0.98004,                  2.169,                 1.2383,             0.00052827,             0.00052827,             0.00052827
                     72,                0.65655,                 1.1966,                0.95736,                0.67464,                0.61607,                0.66993,                0.50664,                0.97501,                 2.1231,                 1.2277,             0.00051177,             0.00051177,             0.00051177
                     73,                0.82104,                 1.2171,                  1.136,                0.67464,                0.61607,                0.66993,                0.50664,                0.97501,                 2.1231,                 1.2277,             0.00049527,             0.00049527,             0.00049527
                     74,                0.62452,                 1.1133,                0.95437,                 0.7597,                0.60532,                0.67035,                0.51006,                0.94121,                 2.0604,                 1.2005,             0.00047876,             0.00047876,             0.00047876
                     75,                0.66981,                 1.1138,                 1.0279,                 0.7597,                0.60532,                0.67035,                0.51006,                0.94121,                 2.0604,                 1.2005,             0.00046226,             0.00046226,             0.00046226
                     76,                0.76752,                  1.307,                 1.0944,                0.70074,                0.63562,                0.67503,                0.51866,                0.90662,                 1.9783,                 1.1705,             0.00044576,             0.00044576,             0.00044576
